# vehicle id = 11
# model label  = NEWELL1
# model category = ITERATED_COUPLED_MAP_MODEL
# model name = Newell-Model (short name: NEWELL)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      5.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     10.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     15.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     20.00,         0,     206.0,         1,     36.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     25.00,         0,     281.0,         1,    111.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     30.00,         0,     356.0,         1,    186.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     35.00,         0,     431.0,         1,    261.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     40.00,         0,     506.0,         1,    336.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     45.00,         0,     581.0,         1,    411.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     50.00,         0,     656.0,         1,    486.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     55.00,         0,     731.0,         1,    561.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     60.00,         0,     806.0,         1,    636.00,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
