# vehicle id = 16
# model label  = NEWELL1
# model category = ITERATED_COUPLED_MAP_MODEL
# model name = Newell-Model (short name: NEWELL)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      5.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     10.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     15.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     20.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     25.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     6.531,  -5.06250,     -1.00,  0.000000
     30.00,         0,     164.1,         1,     44.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     35.00,         0,     239.1,         1,    119.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     40.00,         0,     314.1,         1,    194.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     45.00,         0,     389.1,         1,    269.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     50.00,         0,     464.1,         1,    344.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     55.00,         0,     539.1,         1,    419.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     60.00,         0,     614.1,         1,    494.06,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
