# vehicle id = 2
# model label  = NEWELL1
# model category = ITERATED_COUPLED_MAP_MODEL
# model name = Newell-Model (short name: NEWELL)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      5.00,         0,     327.5,         1,     67.50,    15.000,   0.00000,   0.00000,   664.500,  15.00000,     -1.00,  0.000000
     10.00,         0,     402.5,         1,    142.50,    15.000,   0.00000,   0.00000,   589.500,  15.00000,     -1.00,  0.000000
     15.00,         0,     477.5,         1,    217.50,    15.000,   0.00000,   0.00000,   514.500,  15.00000,     -1.00,  0.000000
     20.00,         0,     552.5,         1,    292.50,    15.000,   0.00000,   0.00000,   439.500,  15.00000,     -1.00,  0.000000
     25.00,         0,     627.5,         1,    367.50,    15.000,   0.00000,   0.00000,   364.500,  15.00000,     -1.00,  0.000000
     30.00,         0,     702.5,         1,    442.50,    15.000,   0.00000,   0.00000,   289.500,  15.00000,     -1.00,  0.000000
     35.00,         0,     777.5,         1,    517.50,    15.000,   0.00000,   0.00000,   214.500,  15.00000,     -1.00,  0.000000
     40.00,         0,     852.5,         1,    592.50,    15.000,   0.00000,   0.00000,   139.500,  15.00000,     -1.00,  0.000000
     45.00,         0,     927.5,         1,    667.50,    15.000,   0.00000,   0.00000,    64.500,  15.00000,     -1.00,  0.000000
     50.00,         0,     989.8,         1,    729.75,     0.500,  -9.00000,-10000000.00000,     2.250,   0.50000,     -1.00,  0.000000
     55.00,         0,     990.0,         1,    730.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
     60.00,         0,     990.0,         1,    730.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
